AREA,BA,BA_DIV_BB,BB,BF_ID,BF_TYPE,BLANK_TYPE,BM,BREADTH,BREADTH_DIV_LENGTH,BUTT_TYPE,BUTT_WORKING,CIRCUMFERENCE,COMPLETENESS,CONDITION,CONTEXT_LEVEL,CONTINENT,CORTEX_BACK,CORTEX_FRONT,CORTEX_TYPE,COUNTRY,DATE_FOUND,DEGREE_PATINATION,EDGE_PROFILE,EDGE_VIEW_AREA,EDGE_VIEW_CIRCUMFERENCE,EDGE_VIEW_L1,EDGE_VIEW_SYMMETRY,EDGE_VIEW_THICKNESS_L1,FINDER,FINDERS_NO,FRONTAL_SYMMETRY,L1,L1_BREADTH,L1_DIV_LENGTH,LENGTH,MUSEUM_ACCESSION_DATE,MUSEUM_ACCESSION_NO,MUSEUM_HOLDER,NOTES,PERCENTAGE_WORKED,RAW_MATERIAL_HARDNESS,RAW_MATERIAL_TEXTURE,RAW_MATERIAL_TYPE,SITENAME,SITE_SUBDIV,TA,TB,THICKNESS,THICKNESS_DIV_BREADTH,TM,WEIGHT
10418.2,49.5,0.66,74.1,1953,HANDAXE/KNIFE,FLAKE,86.8,89.5,0.56,PARTIALLY CORTICAL,UNWORKED,362.0,COMPLETE,FRESH,C5,AFRICA,0,60,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,5314.1,340.6,57.5,0.02,42.2,DEACON,743,0.02,52.0,88.5,0.32,159.46,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CRUDE HANDAXE OR KNIFE WITH POSSIBLE REMNANT PLATFORM ON REAR LOWER RIGHT HAND CORNER; MADE ON WATER ROLLED COBBLE; CRUDE BIFACIAL WORKING ON RIGHT HAND EDGE,50,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,28.1,41.1,43.8,0.48,36.8,574
7341.0,50.7,0.72,69.7,1954,HANDAXE,FLAKE,76.0,78.8,0.64,PARTIALLY CORTICAL,PARTIALLY WORKED,292.8,COMPLETE,FRESH,C5,AFRICA,0,5,ABRADED,SOUTH AFRICA,1964,FRESH,IRREGULAR,3967.2,253.4,34.9,0.01,48.4,DEACON,456,0.01,45.5,78.4,0.37,122.47,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED COBBLE; POSSIBLE REMNANT PLATFORM ON BUTT; POSSIBLE LIGHT LATERAL EDGE DAMAGE ADJACENT TO TIP,82,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,27.7,43.2,49.6,0.62,40.7,380
12410.7,62.1,0.69,89.3,1955,HANDAXE,FLAKE,101.1,104.2,0.65,NON-CORTICAL,PARTIALLY WORKED,377.9,COMPLETE,FRESH,C5,AFRICA,0,0,NONE,SOUTH AFRICA,1964,STAINED,LINEAR,4976.5,335.7,81.7,0.01,43.4,DEACON,179,0.01,86.6,102.9,0.54,158.84,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,WELL SHAPED HANDAXE WITH SQUARE UNWORKED TIP; POSSIBLE REMNANT PLATFORM ON REAR BUTT,93,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,23.6,33.9,44.9,0.43,43.4,640
11499.7,43.3,0.57,75.5,1956,PICK,FLAKE,87.3,97.4,0.54,NON-CORTICAL,PARTIALLY WORKED,401.4,COMPLETE,LIGHTLY ABRADED,C5,AFRICA,0,0,NONE,SOUTH AFRICA,1964,STAINED,IRREGULAR,5342.0,365.0,67.4,0.03,41.3,DEACON,406,0.01,68.3,94.5,0.38,178.85,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CRUDE BIFACIAL WORKING ALONG EDGES; PROBABLY EXTENSIVE LATERAL EDGE DAMAGE ALONG RIGHT HAND EDGE IN PARTICULAR,93,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,24.4,36.4,43.4,0.44,37.0,637
11668.1,60.0,0.7,85.0,1957,HANDAXE,UNCLEAR,88.3,92.8,0.55,NON-CORTICAL,PARTIALLY WORKED,396.9,COMPLETE,ABRADED,C5,AFRICA,0,0,NONE,SOUTH AFRICA,1964,STAINED,IRREGULAR,6028.2,355.3,75.9,0.03,46.7,DEACON,593,0.07,76.1,90.6,0.45,165.86,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CRUDE HANDAXE WITH BLUNTED TIP,91,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,29.8,35.6,48.8,0.52,46.1,757
13337.6,57.1,0.61,92.5,1958,HANDAXE,COBBLE,93.0,103.0,0.57,PARTIALLY CORTICAL,UNWORKED,410.2,COMPLETE,LIGHTLY ABRADED,C5,AFRICA,30,15,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,8156.5,370.7,65.1,0.06,68.7,DEACON,260,0.01,57.8,102.0,0.32,179.35,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED NATURALLY SPLIT PEBBLE; CRUDE BIFACIAL FLAKING ALONG RIGHT HAND EDGE,70,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,35.2,59.6,71.2,0.69,59.1,1063
15965.6,78.7,0.75,104.5,1959,CLEAVER,FLAKE,105.5,112.4,0.62,PARTIALLY CORTICAL,UNWORKED,442.3,COMPLETE,FRESH,C5,AFRICA,10,5,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,8165.6,396.8,90.2,0.03,62.9,DEACON,30,0.0,67.0,111.7,0.37,178.96,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CRUDE CLEAVER WITH INTERSECTION BIT; INTENSIVE LATERAL EDGE DAMAGE ON BIT; MADE ON WATER ROLLED COBBLE; PROBABLY CORTEX STRUCK FROM REAR OF BUTT,69,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,33.2,56.4,63.6,0.56,62.5,1115
11712.6,61.2,0.62,98.3,1960,HANDAXE,COBBLE,96.9,108.6,0.73,CORTICAL,UNWORKED,366.8,COMPLETE,FRESH,C5,AFRICA,50,45,ABRADED,SOUTH AFRICA,1964,FRESH,IRREGULAR,6000.9,319.1,76.8,0.01,55.9,DEACON,383,0.01,52.7,108.1,0.35,148.36,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,ROUGHOUT MADE ON WATER ROLLED PEBBLE; MADE ON PEBBLE OF 50mm THICKNESS,65,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,28.0,45.4,56.4,0.51,55.7,876
14297.6,62.5,0.6,102.7,1961,HANDAXE,FLAKE,100.5,110.5,0.61,PARTIALLY CORTICAL,PARTIALLY WORKED,424.8,COMPLETE,LIGHTLY ABRADED,C5,AFRICA,30,0,ABRADED,SOUTH AFRICA,1964,FRESH,IRREGULAR,6221.3,376.3,55.6,0.04,52.1,DEACON,547,0.01,64.4,110.3,0.35,179.11,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CRUDE UNIFACIAL WORKING ALONG BOTH EDGES; THREE EDGE DAMAGE NOTCHES ALONG EDGES; MADE ON FLAKE FROM LARGE WATER ROLLED COBBLE,76,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,26.6,43.8,52.8,0.47,41.0,891
12418.8,74.2,0.87,84.4,1962,HANDAXE,UNCLEAR,94.3,99.0,0.62,NON-CORTICAL,COMPLETELY WORKED,394.1,COMPLETE,FRESH,C5,AFRICA,0,0,UNCLEAR,SOUTH AFRICA,1964,FRESH,IRREGULAR,6393.7,338.8,39.4,0.01,51.1,DEACON,380,0.01,54.9,98.5,0.34,159.1,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,,87,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,37.2,48.1,51.4,0.51,48.8,802
14840.1,93.2,1.21,76.4,1963,CLEAVER,FLAKE,92.2,106.6,0.55,PARTIALLY CORTICAL,PARTIALLY WORKED,439.5,COMPLETE,FRESH,C5,AFRICA,5,0,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,7414.8,386.9,118.3,0.09,56.1,DEACON,320,0.03,131.8,105.2,0.69,190.82,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,ROUGH CLEAVER WITH DIAGONAL INTERSECTION BIT ALONG UPPER LEFT HAND EDGE,79,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,31.6,40.1,58.9,0.55,54.0,916
17998.3,92.3,0.92,99.5,1964,HANDAXE,COBBLE,118.9,121.6,0.62,PARTIALLY CORTICAL,UNWORKED,457.8,COMPLETE,LIGHTLY ABRADED,C5,AFRICA,30,50,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,9011.2,385.4,96.5,0.12,67.7,DEACON,277,0.01,114.9,121.3,0.59,193.22,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,ROUGH CRUDE HANDAXE WITH CONVEX TIP; LIGHT LATERAL EDGE DAMAGE ON UPPER LEFT HAND CORNER,74,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,46.2,46.7,68.5,0.56,67.0,1512
17003.5,74.4,0.75,98.0,1965,HANDAXE,UNCLEAR,100.7,106.6,0.53,NON-CORTICAL,COMPLETELY WORKED,476.5,COMPLETE,FRESH,C5,AFRICA,15,0,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,12202.2,446.0,110.5,0.02,80.8,DEACON,527,0.01,59.1,105.5,0.29,197.61,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CRUDE HANDAXE WITH POSSIBLE LATERAL EDGE DAMAGE ON TIP,100,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,56.1,61.9,83.5,0.78,80.5,1607
21031.1,68.5,0.55,123.6,1966,CLEAVER,FLAKE,130.0,136.4,0.65,PARTIALLY CORTICAL,UNWORKED,505.1,COMPLETE,FRESH,C5,AFRICA,5,85,BATTERED,SOUTH AFRICA,1964,STAINED,IRREGULAR,10479.5,436.5,97.8,0.03,65.4,DEACON,730,0.01,81.5,135.8,0.38,209.18,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON FLAKE FROM LARGE WATER ROLLED COBBLE; INTERSECTION BIT BETWEEN VENTRAL AND CORTICAL SURFACE; CORTEX STRUCK; POSSIBLE IMPACT DAMAGE ON BIT,43,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,41.3,60.8,67.5,0.49,64.1,1891
23331.9,63.9,0.5,125.6,1967,PICK,UNCLEAR,102.6,131.8,0.5,PARTIALLY CORTICAL,PARTIALLY WORKED,600.3,COMPLETE,FRESH,C5,AFRICA,0,20,ABRADED,SOUTH AFRICA,1964,FRESH,IRREGULAR,13408.8,576.3,69.4,0.09,86.5,DEACON,553,0.05,61.3,129.8,0.23,261.29,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,LARGE CRUDE POINTED HANDAXE; MADE ON LARGE WATER ROLLED COBBLE; POSSIBLE LARGE NOTCH ON LEFT EDGE OF TIP,84,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,40.5,79.5,87.2,0.66,57.4,2200
6240.3,39.8,0.63,62.2,1968,HANDAXE,COBBLE,68.3,73.3,0.61,PARTIALLY CORTICAL,PARTIALLY WORKED,288.1,COMPLETE,FRESH,C10,AFRICA,30,20,POLISHED,SOUTH AFRICA,1964,FRESH,IRREGULAR,4100.6,264.7,63.0,0.05,48.9,DEACON,314A,0.05,49.7,70.8,0.41,118.34,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED PEBBLE,74,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA1,19.1,41.9,48.9,0.66,48.9,364
7276.8,40.6,0.67,60.0,1969,PICK,UNCLEAR,67.5,69.3,0.47,PARTIALLY CORTICAL,PARTIALLY WORKED,325.3,COMPLETE,LIGHTLY ABRADED,C10,AFRICA,5,5,BATTERED,SOUTH AFRICA,1964,STAINED,IRREGULAR,4821.5,290.4,78.3,0.02,52.9,DEACON,305,0.02,59.6,68.7,0.41,144.4,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,,89,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA1,27.7,32.4,54.8,0.79,51.1,437
15473.0,86.1,1.03,83.2,1970,CLEAVER,FLAKE,95.4,99.3,0.52,NON-CORTICAL,UNWORKED,458.7,COMPLETE,LIGHTLY ABRADED,C10,AFRICA,0,0,NONE,SOUTH AFRICA,1964,STAINED,IRREGULAR,6842.9,418.0,114.5,0.05,51.4,DEACON,305,0.03,78.3,96.4,0.41,189.35,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CLEAVER WITH INTERSECTION BIT; EXTENSIVE LATERAL EDGE DAMAGE ALONG BIT; REMNANT PLATFORM AND BULB ON RIGHT HAND EDGE; CRUSHING ALONG LOWER EDGES,53,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA1,28.7,31.3,52.5,0.52,49.2,1037
21677.7,85.0,0.92,92.3,1971,CLEAVER,UNCLEAR,116.6,120.1,0.5,NON-CORTICAL,PARTIALLY WORKED,550.1,COMPLETE,FRESH,C10,AFRICA,5,0,ABRADED,SOUTH AFRICA,1964,FRESH,IRREGULAR,12403.7,485.7,98.5,0.07,75.2,DEACON,305,0.01,124.8,118.1,0.52,237.9,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CLEAVER WITH ROUGH INTERSECTION BIT AND POSSIBLE EDGE DAMAGE ALONG BIT,85,TOUGH,MEDIUM,QUARTZITE,AMANZI SPRINGS,AREA1,40.8,62.4,75.2,0.62,69.1,1724
4857.1,35.4,0.72,48.9,1972,HANDAXE,UNCLEAR,56.8,60.0,0.54,NON-CORTICAL,COMPLETELY WORKED,251.2,COMPLETE,FRESH,C6,AFRICA,0,0,NONE,SOUTH AFRICA,1964,STAINED,IRREGULAR,2644.8,222.7,40.4,0.05,38.3,DEACON,292,0.01,46.9,59.8,0.42,110.75,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,SMALL HANDAXE,100,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,19.3,28.2,38.3,0.63,32.8,225
4582.3,42.1,0.74,56.6,1973,HANDAXE,FLAKE,60.2,61.7,0.63,NON-CORTICAL,COMPLETELY WORKED,236.7,COMPLETE,LIGHTLY ABRADED,C6,AFRICA,0,0,NONE,SOUTH AFRICA,1964,STAINED,IRREGULAR,2939.2,218.1,46.0,0.01,38.8,DEACON,693,0.02,44.5,61.2,0.46,96.59,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,SMALL HANDAXE WITH PROBABLY DELIBERATELY SQUARED TIP,100,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,24.3,32.1,39.1,0.63,37.3,239
5108.6,33.7,0.59,56.5,1974,HANDAXE,FLAKE,58.5,65.4,0.61,PARTIALLY CORTICAL,UNWORKED,253.7,COMPLETE,LIGHTLY ABRADED,C6,AFRICA,80,5,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,2563.0,211.7,31.9,0.02,35.1,DEACON,178,0.01,35.1,64.1,0.32,106.7,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED COBBLE; TWO LARGE EDGE DAMAGE NOTCHES EITHER SIDE OF TIP; NATURALLY SQUARED TIP,39,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,19.0,33.4,35.7,0.54,31.7,249
3714.2,30.1,0.6,49.8,1975,PICK,FLAKE,53.6,55.9,0.62,PARTIALLY CORTICAL,PARTIALLY WORKED,213.4,COMPLETE,LIGHTLY ABRADED,C6,AFRICA,0,0,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,2508.7,192.5,44.0,0.01,38.7,DEACON,168,0.02,26.6,54.9,0.29,89.26,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CORTEX STRUCK; MADE ON ROLLED COBBLE,76,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,20.7,30.7,38.8,0.69,38.5,185
5952.4,43.7,0.73,59.2,1976,HANDAXE,FLAKE,68.9,76.0,0.67,NON-CORTICAL,PARTIALLY WORKED,264.0,COMPLETE,LIGHTLY ABRADED,C6,AFRICA,0,0,NONE,SOUTH AFRICA,1964,STAINED,IRREGULAR,2833.3,224.4,43.7,0.03,38.3,DEACON,260,0.01,40.5,75.5,0.35,112.6,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,TWISTED NOTCHED TIP; REMNANT PLATFORM AND BULB ON REAR LEFT HAND CORNER,62,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,19.9,32.5,39.5,0.51,34.8,309
8870.7,63.9,0.91,69.5,1977,HANDAXE,FLAKE,84.1,84.9,0.63,PARTIALLY CORTICAL,UNWORKED,319.4,COMPLETE,LIGHTLY ABRADED,C6,AFRICA,60,10,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,5408.0,291.7,52.1,0.08,58.8,DEACON,293,0.0,56.2,84.9,0.42,133.59,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CORTEX STRUCK; PROBABLE EDGE DAMAGE ALONG UPPER EDGES AND TIP; MADE ON FLAKE FROM WATER ROLLED COBBLE,49,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,25.0,54.8,59.5,0.7,54.6,634
8478.8,45.3,0.58,76.8,1978,HANDAXE/PICK,UNCLEAR,70.3,86.5,0.6,PARTIALLY CORTICAL,PARTIALLY WORKED,331.4,COMPLETE,LIGHTLY ABRADED,C6,AFRICA,55,0,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,4745.3,289.6,61.6,0.16,50.4,DEACON,690,0.01,48.3,85.1,0.33,142.68,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED COBBLE,58,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,26.5,35.6,51.4,0.59,47.8,521
8277.1,44.4,0.5,87.7,1979,HANDAXE,UNCLEAR,84.0,89.7,0.71,PARTIALLY CORTICAL,UNWORKED,318.1,COMPLETE,LIGHTLY ABRADED,C6,AFRICA,25,10,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,3807.4,265.2,25.7,0.04,48.9,DEACON,663,0.01,42.5,89.5,0.33,126.25,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED COBBLE; POSSIBLE LATERAL EDGE DAMAGE ON TIP,35,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,18.8,48.9,51.3,0.57,35.7,488
11077.3,56.1,0.68,81.9,1980,HANDAXE,UNCLEAR,97.0,99.8,0.65,PARTIALLY CORTICAL,PARTIALLY WORKED,362.6,COMPLETE,FRESH,C6,AFRICA,0,60,BATTERED,SOUTH AFRICA,1964,FRESH,IRREGULAR,5622.4,320.9,73.5,0.01,52.3,DEACON,503,0.01,74.5,98.5,0.48,153.14,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED COBBLE; TWO LARGE NOTCHES EITHER SIDE OF TIP,86,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,30.4,36.1,53.7,0.53,51.1,732
13982.2,66.6,0.68,96.9,1981,HANDAXE,FLAKE,98.1,106.9,0.59,PARTIALLY CORTICAL,UNWORKED,418.7,COMPLETE,FRESH,C6,AFRICA,20,5,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,7511.6,375.2,52.7,0.04,61.4,DEACON,230,0.01,68.3,106.6,0.38,179.11,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,CORTEX STRUCK; MADE ON WATER ROLLED COBBLE; TWISTED TIP; EDGE DAMAGE ON RIGHT HAND CORNER ADJACENT TO TIP,67,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,29.8,57.0,68.9,0.64,55.7,1033
